#,Address,WL,Public,$BLOBZ
2,0x2C32C167Ac5205618D831e83517571955F31eaD8,5,5,5000000
2,0x2c5CD47E355D3417a7F04A6Dee7DEEF6043D9b87,5,5,5000000
2,0x2c84659c75C89d85D46729457D1BC98508A34aA8,5,5,5000000
2,0x2C9A8ADD958f9766e38F40f7dCd8Fa5e64D1B7d3,5,5,5000000
2,0x2caF27200ca339d7a400f4bF94DBdDBFD719468a,5,5,5000000
2,0x2CBD6b950675B1CEA7b60DB83a3264B90FD2458b,5,5,5000000
2,0x2D24c5dD582bC47bCE42717320E814465911D96a,5,5,5000000
2,0x2D27723bC68d6a5B7539F067324afc5Ba6dbf92F,5,5,5000000
2,0x2D2EbcF70fd7301832e42709F10384Dc447a4244,5,5,5000000
2,0x2D4c68C62648dcB47fB44997EfE0906f64A7074d,5,5,5000000
2,0x2D7Cd1Bdf1d1A03461687F9ac1Ea54E653214Be1,5,5,5000000
2,0x2dBb5eA4010f65a5fFf18b7D43a6C1237788A0e5,5,5,5000000
2,0x2E184742DaD3ab06fAb11f36FE68CbBC244433e2,5,5,5000000
2,0x2E3FcA35CbBb34DC9005EeD1CdBfEfF763CcEECa,5,5,5000000
2,0x2E514978a84227D04625D560da4D33f09343D122,5,5,5000000
2,0x2e7735AdB640c4A1f6C72657c66FbD892D487d5D,5,5,5000000
2,0x2E7FE8551847302a76C9c2201B7228fE382d8a82,5,5,5000000
2,0x2Ed27928F116323742dfa0AF99dacD680cD7C495,5,5,5000000
2,0x2F2F665974261C4129b1DC6c359BD259CD66f78A,5,5,5000000
2,0x30063B5662db49C81D57E6734332907616e66035,5,5,5000000
2,0x302a6E2774a4dC6F2c7ecFBea9168abb7CCEDe06,5,5,5000000
2,0x305A8FdA6Ea72350124EE449B6D2F9cd7E9e99e3,5,5,5000000
2,0x306b5629D35bC5D2Fbd3AB8C975b911dc1783A21,5,5,5000000
2,0x3090A8da23358422A98A0cC2DDEDa51ebdeB27d0,5,5,5000000
2,0x30b33e450735Eb5A617C2a4B5C66323079730532,5,5,5000000
2,0x30D00eEe6abBF2588437D7b9E80CD7F3234111F2,5,5,5000000
2,0x31012d1270A826a8a40259583a639f5963C778DC,5,5,5000000
2,0x312f1f29870185a81B3b9D127537475F49a273c6,5,5,5000000
2,0x314fd5D24E1Db1fd89c5b5B96025724ac51cE18c,5,5,5000000
2,0x31923d31c5F5e8E5F77c4b40D35ccAEd78f76C55,5,5,5000000
2,0x319862C994B1e8826CfC433832B3BF4339b65f02,5,5,5000000
2,0x320d2F21200F839B0E683769C34ED2D7598C6d24,5,5,5000000
2,0x3223508f64D6C99d12bbF82330C1E97c38515200,5,5,5000000
2,0x323C52594De60819F2009d54dE7d7Ad8D4b1a8F2,5,5,5000000
2,0x32B3f9831C8eDbB70d1cb542c13AC5dA0035A7a7,5,5,5000000
2,0x32e6778Cf3Caa7b22DFDe095643Bee37f67F82aE,5,5,5000000
2,0x32eaD40C2D0fA7e758f3953Fcca172e8918370F9,5,5,5000000
2,0x32f3B99BFb91313310346CeBb5D9782D198dd1D7,5,5,5000000
2,0x3349B782F73cbDa9E9a4e5db1d0b4C399dE7c22B,5,5,5000000
2,0x3367A005c2bEf54f2836a616ce3E4Fa2d35910da,5,5,5000000
2,0x33833d4C0C9cF00ffcc8A5D7048A6C5d2821aBa9,5,5,5000000
